deepWalk-- user OID-30951: reputation-1526, upvote-0, downvote-0.
deepWalk-- user OID-873: reputation-101, upvote-0, downvote-0.
deepWalk-- user OID-36001: reputation-439, upvote-28, downvote-0.
struc2vec-- user OID-61: reputation-520, upvote-5, downvote-0.
struc2vec-- user OID-144: reputation-981, upvote-0, downvote-0.
struc2vec-- user OID-32: reputation-3338, upvote-2, downvote-9.
struc2vec-- user OID-172: reputation-101, upvote-2, downvote-0.
struc2vec-- user OID-15758: reputation-223, upvote-0, downvote-0.

Target user OID-120: reputation-101, upvote-5, downvote-0.
CHAWE-- user OID-4325: reputation-9997, upvote-32, downvote-6.
CHAWE-- user OID-17952: reputation-10325, upvote-6, downvote-0.
CHAWE-- user OID-7187: reputation-2607, upvote-3, downvote-0.
CHAWE-- user OID-45696: reputation-465, upvote-9, downvote-0.
CHAWE-- user OID-95101: reputation-54, upvote-1, downvote-0.
HAWE-- user OID-7187: reputation-2607, upvote-3, downvote-0.
HAWE-- user OID-45696: reputation-465, upvote-9, downvote-0.
HAWE-- user OID-17952: reputation-10325, upvote-6, downvote-0.
HAWE-- user OID-2581: reputation-941, upvote-0, downvote-0.
HAWE-- user OID-1677: reputation-2278, upvote-15, downvote-1.
hin2vec-- user OID-2095: reputation-859, upvote-12, downvote-0.
hin2vec-- user OID-3871: reputation-1640, upvote-5, downvote-0.
hin2vec-- user OID-2581: reputation-941, upvote-0, downvote-0.
hin2vec-- user OID-92: reputation-345, upvote-1, downvote-0.
hin2vec-- user OID-13184: reputation-19593, upvote-70, downvote-14.
node2bits-- user OID-17952: reputation-10325, upvote-6, downvote-0.
node2bits-- user OID-95101: reputation-54, upvote-1, downvote-0.
node2bits-- user OID-92: reputation-345, upvote-1, downvote-0.
node2bits-- user OID-5354: reputation-2882, upvote-21, downvote-2.
node2bits-- user OID-328: reputation-325, upvote-1, downvote-1.
deepWalk-- user OID-74516: reputation-63, upvote-1, downvote-0.
deepWalk-- user OID-5541: reputation-1589, upvote-0, downvote-0.
deepWalk-- user OID-62147: reputation-101, upvote-1, downvote-0.
deepWalk-- user OID-17217: reputation-690, upvote-4, downvote-0.
deepWalk-- user OID-100074: reputation-437, upvote-4, downvote-0.
struc2vec-- user OID-13339: reputation-2067, upvote-26, downvote-6.
struc2vec-- user OID-1160: reputation-3671, upvote-4, downvote-0.
struc2vec-- user OID-13294: reputation-761, upvote-41, downvote-0.
struc2vec-- user OID-1677: reputation-2278, upvote-15, downvote-1.
struc2vec-- user OID-17821: reputation-3504, upvote-9, downvote-0.

Target user OID-113: reputation-101, upvote-3, downvote-1.
CHAWE-- user OID-84: reputation-10454, upvote-7, downvote-0.
CHAWE-- user OID-25: reputation-1480, upvote-34, downvote-5.
CHAWE-- user OID-121: reputation-1693, upvote-5, downvote-0.
CHAWE-- user OID-5633: reputation-9912, upvote-6, downvote-0.
CHAWE-- user OID-12: reputation-2184, upvote-6, downvote-0.
HAWE-- user OID-19383: reputation-28156, upvote-19, downvote-1.
HAWE-- user OID-11616: reputation-4657, upvote-29, downvote-3.
HAWE-- user OID--1: reputation-1, upvote-13, downvote-26.
HAWE-- user OID-16035: reputation-6495, upvote-68, downvote-0.
HAWE-- user OID-1295: reputation-101, upvote-7, downvote-0.
hin2vec-- user OID-328: reputation-325, upvote-1, downvote-1.
hin2vec-- user OID-1677: reputation-2278, upvote-15, downvote-1.
hin2vec-- user OID-1160: reputation-3671, upvote-4, downvote-0.
hin2vec-- user OID-25: reputation-1480, upvote-34, downvote-5.
hin2vec-- user OID-41890: reputation-4846, upvote-9, downvote-7.
node2bits-- user OID-11616: reputation-4657, upvote-29, downvote-3.
node2bits-- user OID-10: reputation-533, upvote-18, downvote-0.
node2bits-- user OID-12: reputation-2184, upvote-6, downvote-0.
node2bits-- user OID-1573: reputation-6370, upvote-12, downvote-0.
node2bits-- user OID-1295: reputation-101, upvote-7, downvote-0.
deepWalk-- user OID-328: reputation-325, upvote-1, downvote-1.
deepWalk-- user OID-83: reputation-3594, upvote-1, downvote-0.
deepWalk-- user OID-32114: reputation-2806, upvote-0, downvote-0.
deepWalk-- user OID-2292: reputation-219, upvote-1, downvote-0.
